transaction_id,customer_id,transaction_date,amount
T00001,C0384,2023-04-22,54.22
T00002,C0334,2024-04-07,154.98
T00003,C0152,2024-03-17,140.28
T00004,C0323,2023-09-28,191.63
T00005,C0239,2023-03-06,87.07
T00006,C0115,2023-12-10,57.55
T00007,C0319,2023-07-02,94.87
T00008,C0369,2023-11-28,32.0
T00009,C0094,2023-01-10,25.72
T00010,C0048,2024-05-08,26.29
T00011,C0191,2023-08-22,64.26
T00012,C0012,2023-10-25,44.42
T00013,C0156,2023-09-01,37.84
T00014,C0172,2023-12-17,96.65
T00015,C0427,2023-09-24,423.81
T00016,C0401,2023-04-28,39.68
T00017,C0296,2023-05-24,84.29
T00018,C0177,2024-01-16,34.56
T00019,C0341,2023-07-20,229.13
T00020,C0057,2023-08-27,50.87
T00021,C0343,2023-11-30,182.99
T00022,C0340,2024-02-07,49.96
T00023,C0203,2024-02-19,148.01
T00024,C0185,2024-04-01,42.62
T00025,C0121,2024-04-28,50.98
T00026,C0226,2024-03-12,41.03
T00027,C0202,2024-05-01,48.02
T00028,C0330,2023-09-03,160.07
T00029,C0363,2023-12-12,101.42
T00030,C0380,2023-01-08,64.05
T00031,C0356,2023-06-01,291.89
T00032,C0216,2024-01-27,71.89
T00033,C0043,2023-07-30,287.39
T00034,C0375,2024-01-02,41.42
T00035,C0023,2024-03-07,201.26
T00036,C0155,2023-06-07,26.04
T00037,C0186,2023-02-27,84.11
T00038,C0249,2023-03-27,66.25
T00039,C0237,2023-02-24,80.85
T00040,C0293,2023-07-20,85.46
T00041,C0134,2023-05-02,61.95
T00042,C0321,2024-03-21,498.91
T00043,C0390,2023-04-18,306.33
T00044,C0434,2023-10-31,269.76
T00045,C0022,2023-05-12,315.05
T00046,C0361,2024-02-25,143.13
T00047,C0088,2024-01-27,360.5
T00048,C0153,2024-01-20,192.17
T00049,C0125,2024-04-20,65.33
T00050,C0079,2023-07-17,140.21
T00051,C0346,2023-02-16,207.34
T00052,C0051,2023-08-16,118.52
T00053,C0216,2023-09-02,66.22
T00054,C0176,2023-07-22,30.1
T00055,C0358,2023-09-18,149.44
T00056,C0253,2023-06-27,253.91
T00057,C0246,2023-01-24,58.76
T00058,C0227,2023-06-24,37.36
